Categoría,Etiqueta,Descripción,Uso en Prompt
Géneros Específicos Rock/Metal,Gothic Metal Vocals,Voces de gothic metal,Se puede usar en el estilo o como [Gothic Metal Vocals]
Géneros Específicos Rock/Metal,Doom Metal Vocals,Voces de doom metal,Se puede usar en el estilo o como [Doom Metal Vocals]
Géneros Específicos Rock/Metal,Death Metal Vocals,Voces de death metal,Se puede usar en el estilo o como [Death Metal Vocals]
Géneros Específicos Rock/Metal,Black Metal Vocals,Voces de black metal,Se puede usar en el estilo o como [Black Metal Vocals]
Géneros Específicos Rock/Metal,Thrash Metal Vocals,Voces de thrash metal,Se puede usar en el estilo o como [Thrash Metal Vocals]
Géneros Específicos Rock/Metal,Progressive Metal Vocals,Voces de metal progresivo,Se puede usar en el estilo o como [Progressive Metal Vocals]
Géneros Específicos Rock/Metal,Symphonic Metal Vocals,Voces de metal sinfónico,Se puede usar en el estilo o como [Symphonic Metal Vocals]
Géneros Específicos Rock/Metal,Folk Metal Vocals,Voces de folk metal,Se puede usar en el estilo o como [Folk Metal Vocals]
Géneros Específicos Rock/Metal,Industrial Metal Vocals,Voces de metal industrial,Se puede usar en el estilo o como [Industrial Metal Vocals]
Géneros Específicos Rock/Metal,Nu Metal Vocals,Voces de nu metal,Se puede usar en el estilo o como [Nu Metal Vocals]
Géneros Específicos Rock/Metal,Alternative Metal Vocals,Voces de metal alternativo,Se puede usar en el estilo o como [Alternative Metal Vocals]
Géneros Específicos Rock/Metal,Melodic Death Metal Vocals,Voces de death metal melódico,Se puede usar en el estilo o como [Melodic Death Metal Vocals]
Géneros Específicos Rock/Metal,Metalcore Vocals,Voces de metalcore,Se puede usar en el estilo o como [Metalcore Vocals]
Géneros Específicos Rock/Metal,Deathcore Vocals,Voces de deathcore,Se puede usar en el estilo o como [Deathcore Vocals]
Géneros Específicos Rock/Metal,Post-Metal Vocals,Voces de post-metal,Se puede usar en el estilo o como [Post-Metal Vocals]
Etiquetas de Sección para Voces,[Vocal Solo],Solo vocal,Se puede usar en el estilo o como [[Vocal Solo]]
Etiquetas de Sección para Voces,[Diva Solo],Solo de diva,Se puede usar en el estilo o como [[Diva Solo]]
Etiquetas de Sección para Voces,[Gospel Choir],Coro gospel,Se puede usar en el estilo o como [[Gospel Choir]]
Etiquetas de Sección para Voces,[Anthem Chorus],Coro himno,Se puede usar en el estilo o como [[Anthem Chorus]]
Etiquetas de Sección para Voces,[Harmonized Verse],Verso armonizado,Se puede usar en el estilo o como [[Harmonized Verse]]
Etiquetas de Sección para Voces,[Scream Section],Sección de gritos,Se puede usar en el estilo o como [[Scream Section]]
Etiquetas de Sección para Voces,[Clean Chorus],Coro limpio,Se puede usar en el estilo o como [[Clean Chorus]]
Etiquetas de Sección para Voces,[Harsh Verse],Verso duro,Se puede usar en el estilo o como [[Harsh Verse]]
Etiquetas de Sección para Voces,[Vocal Break],Pausa vocal,Se puede usar en el estilo o como [[Vocal Break]]
Etiquetas de Sección para Voces,[A Cappella],A cappella,Se puede usar en el estilo o como [[A Cappella]]
